event_date,latitude,longitude,fatalities,event_type
2018-03-03,40.4795,44.2952,0,Protests
2018-04-07,40.4795,44.2952,0,Protests
2018-04-21,40.4795,44.2952,0,Protests
2018-05-05,40.4795,44.2952,0,Protests
2018-05-12,40.4795,44.2952,0,Protests
2018-09-01,40.4795,44.2952,0,Protests
2018-09-22,40.4795,44.2952,0,Protests
2018-12-22,40.4795,44.2952,0,Protests
2019-03-16,40.4795,44.2952,0,Protests
2019-05-04,40.4795,44.2952,0,Protests
2019-05-25,40.4795,44.2952,0,Protests
2019-06-01,40.4795,44.2952,0,Protests
2019-06-29,40.4795,44.2952,0,Protests
2020-06-27,40.4795,44.2952,0,Protests
2020-12-05,40.4795,44.2952,0,Protests
2020-12-12,40.4795,44.2952,0,Protests
2021-03-06,40.4795,44.2952,0,Protests
2021-04-03,40.4795,44.2952,0,Protests
2021-05-15,40.4795,44.2952,0,Protests
2021-06-05,40.4795,44.2952,0,Protests
2021-06-26,40.4795,44.2952,0,Protests
2021-09-04,40.4795,44.2952,0,Protests
2021-11-13,40.4795,44.2952,0,Protests
2022-04-09,40.4795,44.2952,0,Protests
2022-04-23,40.4795,44.2952,0,Protests
2022-04-30,40.4795,44.2952,0,Protests
2022-05-28,40.4795,44.2952,0,Protests
2022-06-25,40.4795,44.2952,0,Protests
2022-07-30,40.4795,44.2952,0,Protests
2022-09-03,40.4795,44.2952,0,Protests
2022-09-24,40.4795,44.2952,0,Protests
2023-05-13,40.4795,44.2952,0,Protests
2023-06-03,40.4795,44.2952,0,Protests
2023-07-01,40.4795,44.2952,0,Protests
2023-09-23,40.4795,44.2952,0,Protests
2024-03-09,40.4795,44.2952,0,Protests
2024-04-20,40.4795,44.2952,0,Protests
2024-05-04,40.4795,44.2952,0,Protests
2024-05-11,40.4795,44.2952,0,Protests
2024-06-22,40.4795,44.2952,0,Protests
2024-07-06,40.4795,44.2952,0,Protests
2024-07-20,40.4795,44.2952,0,Protests
2024-08-03,40.4795,44.2952,0,Protests
2025-04-05,40.4795,44.2952,0,Protests
2025-04-19,40.4795,44.2952,0,Protests
2025-04-26,40.4795,44.2952,0,Protests
2025-05-17,40.4795,44.2952,0,Protests
2025-07-19,40.4795,44.2952,0,Protests
2025-08-23,40.4795,44.2952,0,Protests
2023-01-21,40.4795,44.2952,0,Protests
2025-06-14,40.4795,44.2952,0,Protests
2018-09-15,40.4795,44.2952,0,Strategic developments
2018-01-06,39.9541,44.8018,0,Battles
2018-01-13,39.9541,44.8018,0,Battles
2018-02-03,39.9541,44.8018,0,Battles
2018-02-10,39.9541,44.8018,0,Battles
2018-02-17,39.9541,44.8018,0,Battles
2018-02-24,39.9541,44.8018,0,Battles
2018-03-03,39.9541,44.8018,0,Battles
2018-03-10,39.9541,44.8018,0,Battles
2018-03-17,39.9541,44.8018,0,Battles
2018-03-24,39.9541,44.8018,0,Battles
2018-03-31,39.9541,44.8018,0,Battles
2018-04-07,39.9541,44.8018,0,Battles
2018-04-14,39.9541,44.8018,0,Battles
2018-04-21,39.9541,44.8018,0,Battles
2018-04-28,39.9541,44.8018,0,Battles
2018-05-19,39.9541,44.8018,0,Battles
2018-05-26,39.9541,44.8018,0,Battles
2018-06-02,39.9541,44.8018,0,Battles
2018-06-09,39.9541,44.8018,0,Battles
2018-06-16,39.9541,44.8018,0,Battles
2018-06-23,39.9541,44.8018,0,Battles
2018-06-30,39.9541,44.8018,0,Battles
2018-07-28,39.9541,44.8018,0,Battles
2018-08-04,39.9541,44.8018,0,Battles
2018-08-11,39.9541,44.8018,0,Battles
2018-08-18,39.9541,44.8018,0,Battles
2018-08-25,39.9541,44.8018,0,Battles
2018-09-01,39.9541,44.8018,0,Battles
2018-09-08,39.9541,44.8018,0,Battles
2018-09-15,39.9541,44.8018,0,Battles
2018-09-22,39.9541,44.8018,0,Battles
2018-09-29,39.9541,44.8018,0,Battles
2018-10-06,39.9541,44.8018,0,Battles
2018-10-13,39.9541,44.8018,0,Battles
2018-10-20,39.9541,44.8018,0,Battles
2018-10-27,39.9541,44.8018,0,Battles
2018-11-03,39.9541,44.8018,0,Battles
2018-11-10,39.9541,44.8018,0,Battles
2018-11-17,39.9541,44.8018,0,Battles
2018-11-24,39.9541,44.8018,0,Battles
2018-12-01,39.9541,44.8018,0,Battles
2018-12-08,39.9541,44.8018,0,Battles
2018-12-15,39.9541,44.8018,0,Battles
2018-12-22,39.9541,44.8018,0,Battles
2018-12-29,39.9541,44.8018,0,Battles
2019-01-05,39.9541,44.8018,0,Battles
2019-01-12,39.9541,44.8018,0,Battles
2019-01-19,39.9541,44.8018,0,Battles
2019-01-26,39.9541,44.8018,0,Battles
2019-02-02,39.9541,44.8018,0,Battles
2019-02-09,39.9541,44.8018,0,Battles
2019-02-16,39.9541,44.8018,0,Battles
2019-02-23,39.9541,44.8018,0,Battles
2019-03-02,39.9541,44.8018,0,Battles
2019-03-09,39.9541,44.8018,0,Battles
2019-03-16,39.9541,44.8018,0,Battles
2019-03-23,39.9541,44.8018,0,Battles
2019-03-30,39.9541,44.8018,0,Battles
2019-04-06,39.9541,44.8018,0,Battles
